"id";"kap_id";"kapitel";"tab_id";"tabelle";"jahr";"raum_id";"raum";"zei_id";"zeile";"quelle";"linktabellenkommentar";"zahl"
"020.020.2005.000.010";"020";"Gesundheit und Soziales";"020";"Leistungsberechtigte nach SGB II - Grundsicherung für Arbeitssuchende";"2005";"000";"Stadt Köln";"10";"Personen in Bedarfsgemeinschaften";"Statistik der Bundesagentur für Arbeit";;"116107.00"
"020.020.2005.000.020";"020";"Gesundheit und Soziales";"020";"Leistungsberechtigte nach SGB II - Grundsicherung für Arbeitssuchende";"2005";"000";"Stadt Köln";"20";"Erwerbsfähige Leistungsberechtigte";"Statistik der Bundesagentur für Arbeit";;"85547.00"
"020.020.2005.000.030";"020";"Gesundheit und Soziales";"020";"Leistungsberechtigte nach SGB II - Grundsicherung für Arbeitssuchende";"2005";"000";"Stadt Köln";"30";"darunter Frauen";"Statistik der Bundesagentur für Arbeit";;"42046.00"
"020.020.2005.000.040";"020";"Gesundheit und Soziales";"020";"Leistungsberechtigte nach SGB II - Grundsicherung für Arbeitssuchende";"2005";"000";"Stadt Köln";"40";"darunter Ausländer/-innen";"Statistik der Bundesagentur für Arbeit";;"30486.00"
"020.020.2005.000.060";"020";"Gesundheit und Soziales";"020";"Leistungsberechtigte nach SGB II - Grundsicherung für Arbeitssuchende";"2005";"000";"Stadt Köln";"60";"Bedarfsgemeinschaften";"Statistik der Bundesagentur für Arbeit";;"65098.00"
"020.020.2005.000.070";"020";"Gesundheit und Soziales";"020";"Leistungsberechtigte nach SGB II - Grundsicherung für Arbeitssuchende";"2005";"000";"Stadt Köln";"70";"darunter Single-BG";"Statistik der Bundesagentur für Arbeit";;"37718.00"
"020.020.2005.000.080";"020";"Gesundheit und Soziales";"020";"Leistungsberechtigte nach SGB II - Grundsicherung für Arbeitssuchende";"2005";"000";"Stadt Köln";"80";"darunter Alleinerziehend";"Statistik der Bundesagentur für Arbeit";;"10118.00"
"020.020.2005.000.090";"020";"Gesundheit und Soziales";"020";"Leistungsberechtigte nach SGB II - Grundsicherung für Arbeitssuchende";"2005";"000";"Stadt Köln";"90";"darunter Partner-BG ohne Kinder";"Statistik der Bundesagentur für Arbeit";;"6877.00"
"020.020.2005.000.100";"020";"Gesundheit und Soziales";"020";"Leistungsberechtigte nach SGB II - Grundsicherung für Arbeitssuchende";"2005";"000";"Stadt Köln";"100";"darunter Partner-BG mit Kind(ern)";"Statistik der Bundesagentur für Arbeit";;"10372.00"
"020.020.2005.001.010";"020";"Gesundheit und Soziales";"020";"Leistungsberechtigte nach SGB II - Grundsicherung für Arbeitssuchende";"2005";"001";"Innenstadt";"10";"Personen in Bedarfsgemeinschaften";"Statistik der Bundesagentur für Arbeit";;"10278.00"
