"id";"kap_id";"kapitel";"tab_id";"tabelle";"jahr";"raum_id";"raum";"zei_id";"zeile";"quelle";"linktabellenkommentar";"zahl"
"080.013.2009.000.010";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"000";"Stadt Köln";"10";"Wahlbeteiligung";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"70.60"
"080.013.2009.000.020";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"000";"Stadt Köln";"20";"  SPD";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"34.90"
"080.013.2009.000.030";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"000";"Stadt Köln";"30";"  CDU";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"32.40"
"080.013.2009.000.040";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"000";"Stadt Köln";"40";"  GRÜNE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"14.60"
"080.013.2009.000.050";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"000";"Stadt Köln";"50";"  FDP";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"9.10"
"080.013.2009.000.060";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"000";"Stadt Köln";"60";"  DIE LINKE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"7.60"
"080.013.2009.000.090";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"000";"Stadt Köln";"90";"  Sonstige";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"1.40"
"080.013.2009.001.010";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"001";"Innenstadt";"10";"Wahlbeteiligung";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"75.70"
"080.013.2009.001.020";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"001";"Innenstadt";"20";"  SPD";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"34.00"
"080.013.2009.001.030";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"001";"Innenstadt";"30";"  CDU";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"26.60"
