Nr;Name;MaxSchnellmeldungen;AnzSchnellmeldungen;Wahlberechtigte;abgegeben;Wahlbeteiligung;gültigeStimmzettel;gültig;ungültigeStimmzettel;ungültig;gültig2;ungültig2;gesamt SPD;SPD;SPD_Proz;Z_SPD;Z_SPD_Proz;gesamt CDU;CDU;CDU_Proz;Z_CDU;Z_CDU_Proz;gesamt Grüne;GRÜNE;GRÜNE_Proz;Z_GRÜNE;Z_GRÜNE_Proz;gesamt FDP;FDP;FDP_Proz;Z_FDP;Z_FDP_Proz;gesamt Piraten;PIRATEN;PIRATEN_Proz;Z_PIRATEN;Z_PIRATEN_Proz;gesamt Die Linke;DIE LINKE;DIE LINKE_Proz;Z_DIE LINKE;Z_DIE LINKE_Proz;gesamt NPD;NPD;NPD_Proz;Z_NPD;Z_NPD_Proz;Die PARTEI;Die PARTEI_Proz;Z_Die PARTEI;Z_Die PARTEI_Proz;FREIE WÄHLER;FREIE WÄHLER_Proz;Z_FREIE W?HLER;Z_FREIE W?HLER_Proz;BIG;BIG_Proz;Z_BIG;Z_BIG_Proz;FBI/FWG;FBI/FWG_Proz;Z_FBI/FWG;Z_FBI/FWG_Proz;?DP;?DP_Proz;Z_?DP;Z_?DP_Proz;Volksabstimmung;Volksabstimmung_Proz;Z_Volksabstimmung;Z_Volksabstimmung_Proz;TIERSCHUTZliste;TIERSCHUTZliste_Proz;Z_TIERSCHUTZliste;Z_TIERSCHUTZliste_Proz;AD-Demokraten NRW;AD-Demokraten NRW_Proz;Z_AD-Demokraten NRW;Z_AD-Demokraten NRW_Proz;gesamt AfD;AfD;AfD_Proz;Z_AfD;Z_AfD_Proz;AUFBRUCH C;AUFBRUCH C_Proz;Z_AUFBRUCH C;Z_AUFBRUCH C_Proz;BGE;BGE_Proz;Z_BGE;Z_BGE_Proz;DBD;DBD_Proz;Z_DBD;Z_DBD_Proz;DKP;DKP_Proz;Z_DKP;Z_DKP_Proz;ZENTRUM;ZENTRUM_Proz;Z_ZENTRUM;Z_ZENTRUM_Proz;DIE RECHTE;DIE RECHTE_Proz;Z_DIE RECHTE;Z_DIE RECHTE_Proz;REP;REP_Proz;Z_REP;Z_REP_Proz;DIE VIOLETTEN;DIE VIOLETTEN_Proz;Z_DIE VIOLETTEN;Z_DIE VIOLETTEN_Proz;JED;JED_Proz;Z_JED;Z_JED_Proz;MLPD;MLPD_Proz;Z_MLPD;Z_MLPD_Proz;PAN;PAN_Proz;Z_PAN;Z_PAN_Proz;Gesundheitsforschung;Gesundheitsforschung_Proz;Z_Gesundheitsforschung;Z_Gesundheitsforschung_Proz;PARTEILOSE WG ?BRD?;PARTEILOSE WG ?BRD?_Proz;Z_PARTEILOSE WG ?BRD?;Z_PARTEILOSE WG ?BRD?_Proz;Sch?ner Leben;Sch?ner Leben_Proz;Z_Sch?ner Leben;Z_Sch?ner Leben_Proz;V-Partei?;V-Partei?_Proz;Z_V-Partei?;Z_V-Partei?_Proz;Einzelbewerber H?velmann;Einzelbewerber H?velmann_Proz;Z_Einzelbewerber H?velmann;Z_Einzelbewerber H?velmann_Proz;Einzelbewerber Hubrich;Einzelbewerber Hubrich_Proz;Z_Einzelbewerber Hubrich;Z_Einzelbewerber Hubrich_Proz;Einzelbewerber Baedorf;Einzelbewerber Baedorf_Proz;Z_Einzelbewerber Baedorf;Z_Einzelbewerber Baedorf_Proz;LD;LD_Proz;Z_LD;Z_LD_Proz
;Altstadt-Nord;19;19;13143;9071;69,02;;9022;;49;9041;30;25,17;2407;26,68;2140;23,67;29,95;2960;32,81;2449;27,09;13,61;1202;13,32;1256;13,89;14,18;1049;11,63;1512;16,72;1,19;117;1,3;98;1,08;8,6;717;7,95;837;9,26;0,02;0;0;4;0,04;235;2,6;172;1,9;0;0;41;0,45;0;0;4;0,04;0;0;2;0,02;0;0;20;0,22;0;0;8;0,09;0;0;43;0,48;0;0;5;0,06;3,87;335;3,71;364;4,03;0;0;11;0,12;0;0;18;0,2;0;0;4;0,04;0;0;0;0;0;0;1;0,01;0;0;0;0;0;0;3;0,03;0;0;12;0,13;0;0;8;0,09;0;0;3;0,03;0;0;0;0;0;0;2;0,02;0;0;0;0;0;0;11;0,12;0;0;13;0,14;;;;;;;;;;;;;;;;
;Altstadt-Süd;28;28;20747;14027;67,61;;13935;;92;13946;81;29,37;4308;30,91;3882;27,84;25,07;3852;27,64;3139;22,51;14,54;1939;13,91;2115;15,17;11,53;1272;9,13;1944;13,94;1,21;164;1,18;174;1,25;9,94;1242;8,91;1529;10,96;0,03;0;0;9;0,06;682;4,89;266;1,91;0;0;37;0,27;0;0;39;0,28;0;0;4;0,03;0;0;33;0,24;0;0;5;0,04;0;0;70;0,5;0;0;6;0,04;3,6;453;3,25;551;3,95;0;0;4;0,03;0;0;22;0,16;0;0;7;0,05;23;0,17;12;0,09;0;0;4;0,03;0;0;1;0,01;0;0;5;0,04;0;0;13;0,09;0;0;11;0,08;0;0;14;0,1;0;0;0;0;0;0;3;0,02;0;0;2;0,01;0;0;11;0,08;0;0;34;0,24;;;;;;;;;;;;;;;;
;Bayenthal;10;10;6897;4960;71,92;;4929;;31;4937;23;26,1;1385;28,1;1190;24,1;30,94;1751;35,52;1302;26,37;12,29;577;11,71;636;12,88;15,04;521;10,57;963;19,51;0,74;33;0,67;40;0,81;7,79;342;6,94;427;8,65;0,05;0;0;5;0,1;156;3,16;59;1,2;0;0;24;0,49;0;0;11;0,22;0;0;4;0,08;0;0;14;0,28;0;0;2;0,04;0;0;24;0,49;0;0;6;0,12;3,46;159;3,23;182;3,69;0;0;4;0,08;0;0;6;0,12;0;0;0;0;5;0,1;2;0,04;0;0;0;0;0;0;0;0;0;0;5;0,1;0;0;5;0,1;0;0;3;0,06;0;0;6;0,12;0;0;1;0,02;0;0;4;0,08;0;0;1;0,02;0;0;3;0,06;0;0;8;0,16;;;;;;;;;;;;;;;;
;Bickendorf;15;15;10262;5688;55,43;;5615;;73;5632;56;34,04;2021;35,99;1807;32,08;20,38;1208;21,51;1084;19,25;11,96;678;12,07;667;11,84;8,99;429;7,64;582;10,33;1,73;122;2,17;73;1,3;10,69;561;9,99;641;11,38;0,16;0;0;18;0,32;129;2,3;85;1,51;0;0;32;0,57;0;0;41;0,73;0;0;1;0,02;0;0;11;0,2;0;0;9;0,16;0;0;43;0,76;0;0;13;0,23;7,89;411;7,32;476;8,45;0;0;2;0,04;0;0;6;0,11;0;0;1;0,02;0;0;1;0,02;0;0;0;0;0;0;3;0,05;0;0;5;0,09;0;0;8;0,14;0;0;2;0,04;0;0;7;0,12;0;0;0;0;0;0;5;0,09;0;0;0;0;0;0;2;0,04;0;0;7;0,12;56;1;0;0;;;;;;;;;;;;
;Bilderstöckchen;11;11;8756;4773;54,51;;4696;;77;4711;62;35,05;1763;37,54;1534;32,56;24,29;1218;25,94;1067;22,65;9,85;440;9,37;487;10,34;8,56;334;7,11;471;10;1,33;67;1,43;58;1,23;7,98;357;7,6;394;8,36;0,13;0;0;12;0,25;102;2,17;65;1,38;0;0;23;0,49;0;0;79;1,68;0;0;3;0,06;0;0;11;0,23;0;0;10;0,21;0;0;34;0,72;0;0;44;0,93;7,89;358;7,62;384;8,15;0;0;1;0,02;0;0;5;0,11;0;0;1;0,02;0;0;0;0;0;0;0;0;0;0;1;0,02;0;0;1;0,02;0;0;2;0,04;0;0;3;0,06;0;0;4;0,08;0;0;1;0,02;0;0;0;0;0;0;2;0,04;0;0;3;0,06;0;0;11;0,23;57;1,21;0;0;;;;;;;;;;;;
;Blumenberg;5;5;3415;1675;49,05;;1649;;26;1650;25;36,13;643;38,99;549;33,27;22,34;401;24,32;336;20,36;6,61;99;6;119;7,21;9,18;122;7,4;181;10,97;1,24;20;1,21;21;1,27;8,94;144;8,73;151;9,15;0,06;0;0;2;0,12;25;1,52;20;1,21;0;0;2;0,12;0;0;30;1,82;0;0;1;0,06;0;0;3;0,18;0;0;1;0,06;0;0;14;0,85;0;0;8;0,48;11,09;168;10,19;198;12;0;0;0;0;0;0;3;0,18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,06;0;0;1;0,06;0;0;1;0,06;0;0;2;0,12;0;0;0;0;0;0;0;0;0;0;1;0,06;0;0;3;0,18;0;0;2;0,12;;;;;27;1,64;0;0;;;;;;;;
;Bocklemünd/Mengenich;9;9;6477;3540;54,65;;3487;;53;3502;38;36,13;1316;37,74;1209;34,52;28,17;1056;30,28;913;26,07;6,28;210;6,02;229;6,54;9,86;291;8,35;398;11,36;1,42;57;1,63;42;1,2;5,45;188;5,39;193;5,51;0,06;0;0;4;0,11;41;1,18;46;1,31;0;0;16;0,46;0;0;15;0,43;0;0;1;0,03;0;0;8;0,23;0;0;8;0,23;0;0;25;0,71;0;0;13;0,37;9,54;312;8,95;355;10,14;0;0;1;0,03;0;0;2;0,06;0;0;2;0,06;0;0;1;0,03;0;0;1;0,03;0;0;0;0;0;0;2;0,06;0;0;0;0;0;0;1;0,03;0;0;5;0,14;0;0;0;0;0;0;2;0,06;0;0;1;0,03;0;0;2;0,06;0;0;7;0,2;16;0,46;0;0;;;;;;;;;;;;
;Braunsfeld;13;13;9068;6830;75,32;;6783;;47;6790;40;25,9;1908;28,13;1608;23,68;33,59;2488;36,68;2071;30,5;11,78;766;11,29;833;12,27;15,74;796;11,74;1341;19,75;1,05;80;1,18;62;0,91;6,26;426;6,28;424;6,24;0,03;0;0;4;0,06;109;1,61;71;1,05;0;0;27;0,4;0;0;5;0,07;0;0;0;0;0;0;17;0,25;0;0;4;0,06;0;0;37;0,54;0;0;1;0,01;3,29;210;3,1;236;3,48;0;0;1;0,01;0;0;5;0,07;0;0;4;0,06;0;0;1;0,01;0;0;0;0;0;0;0;0;0;0;1;0,01;0;0;4;0,06;0;0;3;0,04;0;0;6;0,09;0;0;1;0,01;0;0;1;0,01;0;0;1;0,01;0;0;5;0,07;0;0;16;0,24;;;;;;;;;;;;;;;;
;Brück;13;13;7763;5492;70,75;;5445;;47;5456;36;29,59;1769;32,49;1457;26,7;36,43;2138;39,27;1833;33,6;7,84;377;6,92;478;8,76;11,68;447;8,21;826;15,14;0,73;46;0,84;34;0,62;4,79;257;4,72;265;4,86;0,06;0;0;7;0,13;0;0;42;0,77;0;0;20;0,37;0;0;4;0,07;0;0;1;0,02;91;1,67;59;1,08;0;0;4;0,07;0;0;42;0,77;0;0;3;0,05;5,77;300;5,51;329;6,03;0;0;6;0,11;0;0;3;0,05;0;0;1;0,02;0;0;1;0,02;0;0;2;0,04;0;0;0;0;0;0;3;0,05;0;0;4;0,07;0;0;6;0,11;0;0;5;0,09;0;0;2;0,04;0;0;2;0,04;0;0;3;0,05;0;0;4;0,07;0;0;10;0,18;;;;;;;;;20;0,37;0;0;;;;
;Buchforst;5;5;4296;2053;47,79;;2022;;31;2028;25;38,69;823;40,7;744;36,69;19,93;429;21,22;378;18,64;7,73;138;6,82;175;8,63;7,7;141;6,97;171;8,43;1,43;31;1,53;27;1,33;10,54;212;10,48;215;10,6;0,1;0;0;4;0,2;49;2,42;31;1,53;0;0;4;0,2;0;0;28;1,38;0;0;3;0,15;0;0;0;0;0;0;2;0,1;0;0;18;0,89;0;0;12;0,59;9,16;189;9,35;182;8,97;0;0;2;0,1;0;0;10;0,49;0;0;2;0,1;4;0,2;1;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,05;0;0;4;0,2;0;0;7;0,35;0;0;0;0;0;0;1;0,05;0;0;1;0,05;0;0;2;0,1;0;0;3;0,15;;;;;;;;;;;;;6;0,3;0;0
