"role";"frequncy"
;"28111"
"#01";"1"
"#02";"1"
"#03";"1"
"#04";"1"
"#05";"1"
"#05a";"1"
"#06";"1"
"#07";"1"
"#08";"1"
"#09";"1"
"#10";"1"
"#11";"1"
"#12";"1"
"#34";"1"
"#A";"2"
"#B";"1"
"#C";"1"
"#E";"3"
"#G";"1"
"#H";"2"
"#K";"1"
"1";"2"
"10";"1"
"11";"1"
"12";"1"
"2";"6"
"3";"5"
"300";"1"
"4";"4"
"5";"4"
"6";"3"
"7";"5"
"8";"4"
"9";"3"
"925";"1"
"a:01";"4"
"a:02";"4"
"a:03";"4"
"a:04";"4"
"a:05";"5"
"a:06";"5"
"a:07";"4"
"a:08";"5"
"a:09";"5"
"a:10";"5"
"a:11";"5"
"a:12";"6"
"a:13";"5"
"a:14";"5"
"a:15";"5"
"a:16";"5"
"a:17";"5"
"a:18";"4"
"a:19";"4"
"a:20";"4"
"a:21";"4"
"a:22";"4"
"a:23";"4"
"a:24";"4"
"a:25";"4"
"a:26";"4"
"a:27";"4"
"a:28";"2"
"a:29";"2"
"a:30";"2"
"a:31";"2"
"a:32";"1"
"a:33";"1"
"a:34";"2"
"a:35";"2"
"a:36";"4"
"a:37";"2"
"a:38";"1"
"accessfrom";"2"
"accessto";"128"
"accessvia";"46"
"across";"11"
"admin_centre";"591"
"Ahaus";"1"
"alt:end";"1"
"alt:start";"1"
"alternate";"9"
"alternate_platform";"3"
"alternate_stop";"21"
"alternative";"1"
"apex";"3"
"attraction";"39"
"Aussichtspunkt";"1"
"b:01";"2"
"b:02";"2"
"b:03";"2"
"b:04";"2"
"b:05";"2"
"b:06";"2"
"b:07";"1"
"b:08";"1"
"backward";"33"
"backward:stop";"13"
"backward_platform";"31"
"backward_stop";"874"
"backward_stop_0";"2"
"backward_stop_1";"49"
"backward_stop_10";"44"
"backward_stop_11";"46"
"backward_stop_12";"45"
"backward_stop_13";"45"
"backward_stop_14";"43"
"backward_stop_15";"41"
"backward_stop_16";"41"
"backward_stop_17";"39"
"backward_stop_18";"38"
"backward_stop_19";"37"
"backward_stop_2";"49"
"backward_stop_20";"36"
"backward_stop_21";"35"
"backward_stop_22";"31"
"backward_stop_23";"30"
"backward_stop_24";"28"
"backward_stop_25";"28"
"backward_stop_26";"26"
"backward_stop_27";"26"
"backward_stop_28";"25"
"backward_stop_29";"24"
"backward_stop_3";"49"
"backward_stop_30";"24"
"backward_stop_31";"24"
"backward_stop_32";"24"
"backward_stop_33";"22"
"backward_stop_34";"21"
"backward_stop_35";"21"
"backward_stop_36";"17"
"backward_stop_37";"16"
"backward_stop_38";"16"
"backward_stop_39";"15"
"backward_stop_4";"48"
"backward_stop_40";"13"
"backward_stop_41";"10"
"backward_stop_42";"7"
"backward_stop_43";"7"
"backward_stop_44";"6"
"backward_stop_45";"5"
"backward_stop_46";"5"
"backward_stop_47";"5"
"backward_stop_48";"5"
"backward_stop_49";"5"
"backward_stop_5";"45"
"backward_stop_50";"5"
"backward_stop_51";"4"
"backward_stop_52";"4"
"backward_stop_53";"3"
"backward_stop_54";"1"
"backward_stop_6";"46"
"backward_stop_7";"48"
"backward_stop_8";"48"
"backward_stop_9";"46"
"backward_stop_exit_only";"1"
"biergarten";"1"
"board";"13"
"board:B";"1"
"board:G";"1"
"board:L";"1"
"building";"3"
"buildingspart";"2"
"Bus stop";"1"
"Buslinie AST Bocholt";"2"
"bus_stop";"12"
"child";"50"
"connect";"2"
"connect:V1";"1"
"connect:V6";"2"
"connect:X11";"3"
"connect:X11a";"3"
"connect:X12";"1"
"connect:X12+X19";"1"
"connect:X12+X22";"1"
"connect:X19";"10"
"connect:X19+X22";"1"
"connect:X22";"2"
"connect:X24";"1"
"connect:X28";"6"
"connect:X29";"5"
"connect:X30";"8"
"connect:X7";"2"
"connect:X9";"2"
