"role";"COUNT(role)"
;"1540253"
"#common2";"5"
"#common3";"1"
"#common4";"1"
"#G";"1"
"#loop1";"97"
"#loop2";"15"
"#loop3";"13"
"#startziel";"4"
"+";"1"
"-";"1"
"1";"13"
"1-7";"3"
"13-29";"3"
"2";"9"
"3";"5"
"31-87";"3"
"4";"4"
"47-72";"2"
"60-93";"2"
"89-99";"1"
"<different>";"8"
"A";"1"
"abandoned";"2"
"Abkürzung";"4"
"access";"20"
"accessfirst";"2"
"accessfrom";"42"
"accesslast";"2"
"accessto";"23"
"accessvia";"2"
"accross";"23"
"across";"405"
"additional";"52"
"alt:first";"1"
"alt:last";"1"
"alteernate";"1"
"alternate";"212"
"alternate_platform";"4"
"alternative";"80"
"Anna-Linder-Weg";"1"
"area";"11"
"attraction";"16"
"B";"15"
"B 58";"1"
"backward";"11633"
"backward_stop";"3"
"backward_stop_exit_only";"1"
"Bahnstrecke Rommerskirchen - Niederaußem";"20"
"Begin";"1"
"biergarten";"1"
"Blumenhandel und Kunstwerkstatt";"1"
"Blumenthaler Straße";"8"
"brothel";"6"
"building";"227"
"buildingpart";"69"
"buildings";"2"
"buildingspart";"1"
"bunker";"4"
"Busl";"1"
"bus_stop";"1"
"bypass";"1"
"cable";"4"
"canal";"8"
"castle";"1"
"center_line";"1"
"chapel";"5"
"church";"6"
"connection";"6"
"construction";"74"
"contains";"1"
"continue";"9"
"continues";"21"
"derzeitige Routenführung";"9"
"detour";"11"
"device";"4"
"disused:platform";"1"
"edga";"2"
"edge";"90"
"end";"10"
"endloop";"1"
"entrance";"1"
"excursion";"104"
"F2";"7"
"F3";"9"
"fire_station";"1"
"first";"306"
"fist";"1"
"footway";"4"
"foreward";"3"
"forwad";"1"
"forward";"50466"
"forwardb";"1"
"forward_platform";"4"
"forward_stop";"3"
"forwars";"2"
"foward";"55"
"from";"20392"
"from Zollverein";"10"
"Funckenha";"1"
"Fußläufige Abkürzung";"6"
"generator";"32"
"Hauptgebäude";"1"
"historic";"25"
"Holper Heide";"8"
"hospital";"9"
"hotel";"2"
"house";"441196"
"Im Holte";"2"
"innenstadt";"69"
"inner";"38507"
"intersection";"8"
"K14";"1"
"K55";"2"
"kindergarten";"6"
"label";"5"
"landuse";"12"
"längere Tour";"80"
"last";"286"
"last:11";"1"
"lateral";"16"
"level_-1";"1"
"Liblar-Rech";"76"
"line";"3218"
"link";"174"
"loopfirst";"2"
"looplast";"2"
"lower";"8"
"main building";"1"
"main_stream";"6101"
"mall";"1"
"Margarethenhöhe";"4"
"member";"16"
"name";"1"
"negative";"555"
"negative:parking";"130"
"NEW";"1"
"Nieler Straße";"6"
"north";"1"
"nursing_home";"2"
"object";"6"
"obsolete";"1"
"OLD";"1"
"other";"1"
"outer";"117322"
"outline";"683"
"outside";"1"
"over";"5"
"Owner";"1"
"paltform";"2"
"parking";"8"
"part";"2084"
"part1:to";"6"
"part2:to";"9"
"path";"12"
"perimeter";"142"
"Pizzeria";"2"
"platform";"43418"
"platform_entry_only";"503"
"platform_exit_only";"500"
"pond";"2"
"positive";"567"
"positive:parking";"110"
"proposed";"5"
"Querverbindung Ottilienquelle";"13"
"Querverbindung Ottilienquelle; Umgehung Schützenplatz";"2"
"refectory";"2"
"restaurant";"2"
"ridge";"57"
"Ringen-Bodendorf";"5"
"road";"41"
"Rolle";"1"
"roof";"1"
"room";"15"
"route";"1"
"route:*";"14"
"route:a";"768"
"route:b";"67"
"route:c";"130"
"route:d";"103"
"route:e";"104"
"route:f";"213"
"route:g";"11"
"route:h";"121"
"route:i";"5"
"route:j";"15"
"route:k";"11"
"route:l";"2"
"route:m";"10"
"route:n";"16"
"route:o";"34"
"route:p";"20"
"route:q";"56"
"Schellenberger Wald";"1"
"Scheurener Straße";"3"
"school";"18"
"service";"18"
"shell";"3"
"shelter";"2"
"shortcut";"14"
"sidepath";"15"
"sideway";"51"
"side_stream";"482"
"social_facility";"3"
"sports_centre";"4"
"start";"87"
"Start 45";"3"
"startloop";"1"
"station";"3"
"stop";"42"
"street";"52682"
"substation";"493"
"sub_station";"352"
"terminal";"17"
"through";"10"
"THW Geschäftsführerbereich Aachen";"10"
"THW Geschäftsführerbereich Arnsberg";"10"
"THW Geschäftsführerbereich Bielefeld";"10"
"THW Geschäftsführerbereich Bochum";"2"
"THW Geschäftsführerbereich Dortmund";"5"
"THW Geschäftsführerbereich Gelsenkirchen";"1"
"THW Geschäftsführerbereich Köln";"10"
"THW Geschäftsführerbereich Mönchengladbach";"4"
"THW Geschäftsführerbereich Münster";"2"
"THW Geschäftsführerbereich Olpe";"6"
"THW Geschäftsführerbereich Wesel";"4"
"thw:ltg";"1"
"thw:ov";"8"
"TMC:RoadEnd";"8"
"to";"20376"
"to/from vom/zum Wanderparkplatz";"2"
"to/from von/zum Wanderparkplatz";"1"
"track";"10"
"trench";"3"
"turn";"1"
"Umleitung";"107"
"Umleitung Schützenplatz";"3"
"under";"194"
"university";"1"
"upper";"9"
"variant";"9"
"variant 2";"7"
"variant:1";"8"
"variant:2";"4"
"via";"597"
"Wald";"1"
"way";"265"
"ways";"149"
"Weg Neuss - Rommerskirchen";"33"
"Zugangsweg";"16"
"^house";"9"
