"k";"count(k)"
"3dr:type";"1"
"3dshapes:note";"8"
"abandoned";"6"
"abandoned:building";"1"
"abandoned:gauge";"1"
"abandoned:highway";"1"
"abandoned:landuse";"1"
"abandoned:man_made";"3"
"abandoned:military";"1"
"abandoned:public_transport";"2"
"abandoned:railway";"2"
"abandoned:route";"5"
"abbreviation";"11"
"access";"275"
"access:customer";"1"
"access:park_and_ride";"1"
"addr:city";"2537"
"addr:country";"2082"
"addr:county";"1"
"addr:district";"12"
"addr:hamlet";"1"
"addr:housename";"90"
"addr:housenumber";"2609"
"addr:place";"7"
"addr:postcode";"2385"
"addr:province";"9"
"addr:state";"7"
"addr:street";"2887"
"addr:suburb";"146"
"adfc_mi_net";"1"
"admin_centre:postal_code";"151"
"admin_level";"2744"
"admin_level:historic";"1"
"aerodrome";"1"
"aerodrome:type";"2"
"aeroway";"7"
"agricultural:conditional";"2"
"alternate";"1215"
"alt_name";"256"
"alt_name2";"1"
"alt_name:be";"1"
"alt_name:bg";"1"
"alt_name:br";"1"
"alt_name:ca";"2"
"alt_name:cs";"1"
"alt_name:de";"6"
"alt_name:el";"1"
"alt_name:en";"2"
"alt_name:eo";"5"
"alt_name:es";"1"
"alt_name:et";"1"
"alt_name:fr";"1"
"alt_name:it";"1"
"alt_name:ksh";"1"
"alt_name:la";"2"
"alt_name:mk";"1"
"alt_name:ms";"1"
"alt_name:nds";"1"
"alt_name:nl";"2"
"alt_name:pa";"1"
"alt_name:ru";"1"
"alt_name_1";"2"
"alt_name_2";"1"
"alt_name_3";"1"
"alt_name_4";"1"
"alt_ref";"1"
"alt_uic_ref";"15"
"alt_website";"1"
"amenity";"1122"
"amenity_1";"1"
"aminal";"1"
"animal";"7"
"architect";"25"
"architect:wikidata";"1"
"area";"479"
"area:highway";"35"
"areasize:sqm";"1"
"area_lcd";"70"
"artist_name";"2"
"artwork_type";"2"
"asb";"1"
"ascent";"59"
"ass";"1"
"atm";"8"
"attraction";"4"
"authoritative";"112"
"avg_fph";"3"
"barometer";"1"
"barrier";"191"
"basin";"8"
"bdouble";"3"
"bench";"53"
"bic";"1"
"bicycle";"207"
"bicycle:conditional";"1"
"bicycle:hour_off";"2"
"bicycle:hour_on";"2"
"bicycle:opening_hours";"1"
"bicycle_parking";"1"
"biergarten";"2"
"billards";"1"
"bin";"19"
"blind:description:de";"1"
"blind:description:en";"1"
"boat";"14"
"booking";"2"
"border_type";"23"
"born";"2"
"boundary";"4295"
"boundary_type";"2"
"brand";"15"
"bridge";"44"
"brothel:eros_center";"1"
"building";"5392"
"building:architecture";"3"
"building:cladding";"7"
"building:colour";"107"
"building:condition";"2"
"building:fireproof";"11"
"building:height";"9"
"building:layers";"1"
"building:levels";"384"
"building:levels:underground";"2"
"building:material";"76"
"building:min_level";"39"
"building:part";"114"
"building:parts";"7"
"building:ref";"4"
"building:roof";"13"
"building:roof:colour";"1"
"building:roof:shape";"7"
"building:source";"1"
"building:type";"20"
"building:underground";"8"
"building:use";"119"
"building:use:accommodation";"1"
"building:use:cultural";"2"
"building:use:education";"6"
"building:use:gastronomy";"3"
"building:use:government";"3"
"building:use:healthcare";"1"
"building:use:health_care";"1"
"building:use:justice";"1"
