"v";"count(v)"
;"2"
"""-"" weiße Schrift auf schwarzem Grund";"1"
"""<"" weiße Schrift auf schwarzem Grund";"1"
""">"" weiße Schrift auf schwarzem Grund";"1"
"""A1"" weiße Schrift auf schwarzem Grund";"1"
"""A3"" weisse Schrift auf schwarzem Grund";"1"
"""A4"" weisse Schrift auf schwarzem Grund";"1"
"""Bergischer Streifzug""?";"1"
"""Big House""";"1"
"""Blaupunkt""";"1"
"""BN"" im Kreis";"1"
"""BonnNatur""-Linie";"2"
"""Der Geschichtliche""";"1"
"""Der Ritterliche""";"1"
"""Der Sanftehe""";"1"
"""Der Weitsichtige""";"1"
"""Fernglas-Route""";"1"
"""Gelsenkirchen Hbf"" ist die offizielle Betriebsstellenbezeichnung";"1"
"""ground truth"": mapped ist der Weg nach den Pfeilen in der Natur; offizielle Karten zeigen z.T. eine abweichende Route";"1"
"""Kalki""";"1"
"""Karotten-Route"" (Lage)";"1"
"""KKH"" als Abkürzung für ""Ev. Krankenhaus""?";"2"
"""Landwirtschaftlicher Verkehr frei""";"2"
"""Lünen Preußen"" ist die offizielle Betriebsstellenbezeichnung, ""Lünen-Preußen"" die Bezeichnung laut Fahrplanmedien; ""Preußen"" hingegen die übliche Bezeichnung (z. B. auf dem Bahnhofsschild)";"1"
"""Malakoff"": Der ehemalige Eingangs- und Wachbereich entstand in der zweiten Bauphase der ""Ordensburg"" ab 1937.";"1"
"""Nederlands"" is not part of the name, however you look at it! it's only a disambiguator";"1"
"""No straight on"" in die Alte Poststraße War das so gemeint? Anderenfalls bitte in ""only right turn to ""Mühlenstraße"" ändern";"1"
"""Offenes Dreieck""";"1"
"""römische Mauerreste"" sind kein Typus archäologischer Fundstätten";"1"
"""T""";"1"
"""U""";"1"
"""Wasserquintett""";"1"
"""Wasserquintett"" Bergisch Born - Marienheide";"1"
"""Weinglas-Route"" (Altenbeken, Schwaney)";"1"
"""Zabel-Fernroute""";"1"
"#000000";"1"
"#0000FF";"7"
"#002C72";"1"
"#004518";"1"
"#004F76";"2"
"#0065A1";"6"
"#006666";"1"
"#0066B3";"2"
"#00738D";"9"
"#00743A";"12"
"#008000";"3"
"#008080";"1"
"#0081C9";"7"
"#0083CA";"22"
"#008AD2";"6"
"#008D5C";"1"
"#0099D8";"9"
"#009E5D";"1"
"#00a079";"1"
"#00a650";"5"
"#00adef";"2"
"#00B1EE";"34"
"#00B9F1";"3"
"#00BFFF";"1"
"#00FF00";"4"
"#00FFFF";"1"
"#03C";"1"
"#09BE13";"1"
"#0f0fcd";"1"
"#0f1719";"1"
"#111412";"1"
"#136432";"4"
"#14893B";"2"
"#178C34";"3"
"#1b62b7";"4"
"#1EA44A";"8"
"#212323";"2"
"#21BFC1";"3"
"#313331";"3"
"#332E1C";"1"
"#333333";"8"
"#339E94";"3"
"#371D81";"6"
"#412D21";"3"
"#4370AF";"3"
"#4393b1";"1"
"#4C9533";"3"
"#4cb848";"3"
"#4f514d";"1"
"#506970";"1"
"#54ad4b";"4"
"#5B78BB";"3"
"#60D6F7";"3"
"#623F1E";"3"
"#640A7E";"6"
"#665555";"1"
"#68cd93";"1"
"#6A7F7A";"1"
"#6BD0EF";"2"
"#721F7F";"2"
"#73caef";"1"
"#743A7D";"2"
"#751D82";"15"
"#757b79";"2"
"#764F2B";"2"
"#7760B0";"3"
"#7b7872";"3"
"#7BC523";"2"
"#7E6861";"1"
"#800000";"1"
"#808080";"3"
"#81ae0e";"1"
"#81D0F5";"5"
"#824888";"5"
"#87be49";"1"
"#88959D";"1"
"#8A603B";"3"
"#8B0000";"1"
"#8B4513";"2"
"#8bc63e";"2"
"#8C1888";"1"
"#8E8B86";"1"
"#8F007C";"5"
"#8fc73d";"2"
"#91007B";"2"
"#91C46D";"12"
"#948fb8";"3"
"#965d28";"2"
"#967b68";"3"
"#96B337";"5"
"#9864B2";"6"
"#98FB98";"1"
"#9A338B";"3"
"#9B0600";"16"
"#9e003c";"1"
"#9F8C17";"3"
"#A9771F";"9"
"#aa2135";"3"
"#AB6DAB";"11"
"#ADA193";"1"
"#adc228";"3"
"#b0e2ff";"3"
"#B22037";"15"
"#B3072D";"3"
"#B379B4";"2"
"#B9CE00";"16"
"#BF00FF";"1"
"#BFCA07";"1"
"#C04040";"1"
"#C14635";"11"
"#c3c195";"1"
"#CC3232";"1"
"#CC3557";"12"
"#cd7e00";"1"
"#d2d2d0";"2"
"#D3D3D3";"2"
"#D4233E";"2"
"#D45D32";"13"
"#d4d3ae";"1"
"#d52330";"3"
"#D60026";"3"
"#D7BC2B";"3"
"#D90000";"2"
"#d9d4c0";"1"
"#DA0070";"5"
"#DA4033";"6"
"#dbdbdb";"1"
"#ddbc81";"1"
"#DF3A01";"1"
"#e06e9f";"3"
"#E2D0B8";"1"
"#E3000B";"21"
"#E3007B";"2"
"#E50E51";"2"
"#e6855c";"3"
"#e6877e";"3"
"#e693b5";"3"
"#E7462D";"9"
"#E88FB9";"6"
"#E89194";"1"
"#EA5901";"9"
"#EA6C72";"10"
"#EB880E";"2"
"#ec2425";"1"
"#ed1c23";"2"
"#ed1c24";"1"
"#EDE5CD";"1"
"#EF7C00";"7"
"#efe3b5";"1"
"#EFEF43";"1"
"#efefef";"1"
"#F16523";"3"
"#F2D8DE";"1"
"#f4f4f4";"1"
"#f57215";"4"
"#F5B4D2";"3"
"#f68b1f";"4"
"#f6a800";"1"
"#F6B72E";"2"
"#F9D900";"13"
"#FAC07D";"4"
"#FACC2E";"1"
"#FBBA00";"3"
"#fbc424";"1"
"#fcc707";"2"
"#ff0000";"13"
"#ff00ff";"1"
"#FF2D16";"9"
"#FF7D23";"1"
"#ff8000";"1"
"#FF8C00";"2"
"#FF9027";"14"
"#ffa500";"1"
"#FFBF00";"1"
"#FFD938";"6"
"#FFF87F";"1"
"#FFFF00";"9"
"#FFFFFF";"2"
"'27512222";"1"
"'s-Heerenberg";"1"
"'t Grenswater";"1"
"(.V)";"1"
"(1)";"1"
"(1) Kurterrainweg 1";"1"
"(2)";"1"
"(3)";"2"
"(4)";"2"
"(4) Klosterweg";"1"
"(4) Kurterrainweg 4";"1"
"(7)";"1"
"(7) Listerseeweg";"1"
"(A)";"1"
"(A2)";"1"
"(AL)";"1"
"(Aufrechtes gefülltes Rechteck)";"1"
"(B)";"10"
"(B) Brezelweg (Rund um Burg)";"1"
"(B) Rund um Bochum";"1"
"(B) Rund um Boele";"1"
"(B) Rund um Burscheid";"1"
"(B8)";"1"
"(BN)";"1"
"(BN) Rund um Bergisch-Neukirchen";"1"
"(D)";"8"
"(D) Dahler Höhenring";"1"
"(D) Dattelner Blaue Acht";"1"
"(D) Erich-Reinschmidt-Weg";"1"
"(D) Rund um Dortmund";"1"
"(distance) gps metering";"2"
"(DU)";"1"
"(DU) Rund um Duisburg";"1"
"(E)";"5"
"(E) Elsper Rundweg";"1"
"(Eder)";"3"
"(F)";"2"
"(F) Mauritiusweg-Fröndenberg";"1"
